# ========
# captured on    : Sat Sep 12 09:46:13 2026
# header version : 1
# data offset    : 256
# data size      : 7749288
# feat offset    : 7749544
# hostname : ubuntu
# os release : 5.15.0-1106-kvm
# perf version : 5.15.209
# arch : x86_64
# nrcpus online : 1
# nrcpus avail : 1
# cpudesc : Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz
# cpuid : GenuineIntel,6,63,2
# total memory : 4034188 kB
# cmdline : /usr/lib/linux-kvm-tools-5.15.0-1106/perf record -F 199 --no-bpf-event -e cpu-clock --call-graph dwarf,4096 --output /root/0460882-Project-HwiSwiCoDesign/results/raytrace/optimized/2026-09-12-09-45/perf.data -- /root/0460882-Project-HwiSwiCoDesign/.venv-dbg/bin/python /root/0460882-Project-HwiSwiCoDesign/suites/optimized/bm_raytrace/run_benchmark.py --debug-single-value --width 800 --height 800 --batch-size 1024 
# event : name = cpu-clock, , id = { 725 }, type = 1, size = 128, { sample_period, sample_freq } = 199, sample_type = IP|TID|TIME|ADDR|CALLCHAIN|PERIOD|REGS_USER|STACK_USER|DATA_SRC, read_format = ID, disabled = 1, inherit = 1, mmap = 1, comm = 1, freq = 1, enable_on_exec = 1, task = 1, mmap_data = 1, sample_id_all = 1, exclude_guest = 1, exclude_callchain_user = 1, mmap2 = 1, comm_exec = 1, ksymbol = 1, sample_regs_user = 0xff0fff, sample_stack_user = 4096
# CPU_TOPOLOGY info available, use -I to display
# NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: software = 1, power = 7, uprobe = 6, cpu = 4, breakpoint = 5, tracepoint = 2, msr = 8
# CACHE info available, use -I to display
# time of first sample : 1450.743646
# time of last sample : 1461.439241
# sample duration :  10695.595 ms
# MEM_TOPOLOGY info available, use -I to display
# cpu pmu capabilities: max_precise=0, pmu_name=haswell
# missing features: TRACING_DATA BRANCH_STACK GROUP_DESC AUXTRACE STAT CLOCKID DIR_FORMAT COMPRESSED CLOCK_DATA HYBRID_TOPOLOGY HYBRID_CPU_PMU_CAPS 
# ========
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock'
# Event count (approx.): 8864320500
#
# Overhead       Samples        Period  Command  Shared Object                                      Symbol                                           IPC   [IPC Coverage]
# ........  ............  ............  .......  .................................................  ...............................................  ....................
#
     0.17%             3      15075375  python   python3.10d                                        [.] PyFloat_FromDouble                           -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] PyLong_FromDouble                            -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] PyObject_RichCompareBool                     -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] _PyFrame_New_NoTrack                         -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] _PyObject_GC_New                             -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] binary_op                                    -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] builtin_max                                  -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] listiter_next.lto_priv.0                     -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] long_mul.lto_priv.0                          -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] object_dealloc.lto_priv.0                    -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] untrack_tuples                               -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] vgetargs1                                    -      -            
     0.17%             3      15075375  python   python3.10d                                        [.] 0x0000000000022670                           -      -            
     0.17%             3      15075375  python   [unknown]                                          [k] 0xffffffff869869b7                           -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] DOUBLE_divide_AVX2                           -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] DOUBLE_sqrt_SSE41                            -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] IsUintAligned                                -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] LONG_remainder                               -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_CastDescrToDType                     -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_DescrFromType                        -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_GetCastingImpl                       -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_MapIterSwapAxes                      -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyUFunc_CheckOverride                        -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyUFunc_DefaultLegacyInnerLoopSelector       -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] array_boolean_subscript                      -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] array_subscript                              -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] default_malloc                               -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] ensure_native_byteorder                      -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] get_byteswap_loop                            -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] mapiter_set                                  -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] npy_find_array_wrap                          -      -            
     0.11%             2      10050250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] try_binary_elide                             -      -            
     0.11%             2      10050250  python   libc.so.6                                          [.] malloc                                       -      -            
     0.11%             2      10050250  python   libc.so.6                                          [.] unlink_chunk.constprop.0                     -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] PyErr_Occurred                               -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] PyIter_Check                                 -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] PyLong_AsLongLongAndOverflow                 -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] PyMem_RawMalloc                              -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] PyObject_GetAttr                             -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] PySlice_AdjustIndices                        -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] PyTuple_New                                  -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] PyType_GenericAlloc                          -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] PyUnicode_AsUTF8AndSize                      -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] _PyObject_VectorcallTstate                   -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] address_in_range                             -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] convertitem                                  -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] do_richcompare                               -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] float___trunc___impl.lto_priv.0              -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] frame_alloc                                  -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] get_float_state                              -      -            
     0.11%             2      10050250  python   python3.10d                                        [.] get_gc_state                                 -      -            
